Laser delay,Gate width,Counts
15.1,2.0,72522.0
15.1,1.9000000000000004,60587.0
15.1,1.8000000000000007,50215.0
15.1,1.6999999999999993,40559.0
15.1,1.5999999999999996,32318.0
15.1,1.5,25091.0
15.1,1.4000000000000004,19708.0
15.1,1.3000000000000007,15428.0
15.1,1.1999999999999993,12019.0
15.1,1.0999999999999996,9670.0
15.1,1.0,7394.0
15.1,0.9000000000000004,5447.0
15.1,0.8000000000000007,3870.0
15.1,0.6999999999999993,2286.0
15.1,0.5999999999999996,1117.0
15.1,0.5,-94.0
15.1,0.40000000000000036,-893.0
15.1,0.3000000000000007,-1865.0
15.1,0.1999999999999993,-2441.0
15.1,0.09999999999999964,-3026.0
15.15,0.0,-3470.0
15.15,-0.09999999999999964,-3935.0
15.15,3.0,362432.0
15.15,2.9000000000000004,300310.0
15.15,2.8,260144.0
15.15,2.7,225494.0
15.15,2.5999999999999996,196039.0
15.15,2.5,166435.0
15.15,2.4000000000000004,143836.0
15.15,2.3,124083.0
15.15,2.2,107634.0
15.15,2.0999999999999996,92200.0
15.15,2.0,78649.0
15.15,1.9000000000000004,65392.0
15.15,1.8000000000000007,54220.0
15.15,1.6999999999999993,43917.0
15.15,1.5999999999999996,35187.0
15.15,1.5,27266.0
15.15,1.4000000000000004,21291.0
15.15,1.3000000000000007,16596.0
15.15,1.1999999999999993,13074.0
15.15,1.0999999999999996,10511.0
15.15,1.0,8345.0
15.15,0.9000000000000004,6032.0
15.15,0.8000000000000007,4324.0
15.15,0.6999999999999993,2597.0
15.15,0.5999999999999996,1429.0
15.15,0.5,267.0
15.15,0.40000000000000036,-745.0
15.15,0.3000000000000007,-1674.0
15.15,0.1999999999999993,-2406.0
15.15,0.09999999999999964,-2927.0
15.2,0.0,-3434.0
15.2,-0.09999999999999964,-4037.0
15.2,3.0,408679.0
15.2,2.9000000000000004,331746.0
15.2,2.8,282265.0
15.2,2.7,244376.0
15.2,2.5999999999999996,212719.0
15.2,2.5,179906.0
15.2,2.4000000000000004,154838.0
15.2,2.3,134421.0
15.2,2.2,116803.0
15.2,2.0999999999999996,100149.0
15.2,2.0,85098.0
15.2,1.9000000000000004,71127.0
15.2,1.8000000000000007,58453.0
15.2,1.6999999999999993,47408.0
15.2,1.5999999999999996,37553.0
15.2,1.5,29665.0
15.2,1.4000000000000004,23030.0
15.2,1.3000000000000007,18057.0
15.2,1.1999999999999993,14291.0
15.2,1.0999999999999996,11419.0
15.2,1.0,8936.0
15.2,0.9000000000000004,6616.0
15.2,0.8000000000000007,4716.0
15.2,0.6999999999999993,3289.0
15.2,0.5999999999999996,1736.0
15.2,0.5,383.0
15.2,0.40000000000000036,-1015.0
15.2,0.3000000000000007,-1670.0
15.2,0.1999999999999993,-2249.0
15.2,0.09999999999999964,-2946.0
15.25,0.0,-3392.0
15.25,-0.09999999999999964,-3956.0
15.25,3.0,462982.0
15.25,2.9000000000000004,330754.0
15.25,2.8,309829.0
15.25,2.7,265148.0
15.25,2.5999999999999996,228766.0
15.25,2.5,195059.0
15.25,2.4000000000000004,169022.0
15.25,2.3,146128.0
15.25,2.2,125938.0
15.25,2.0999999999999996,108265.0
15.25,2.0,91178.0
15.25,1.9000000000000004,76570.0
15.25,1.8000000000000007,63280.0
15.25,1.6999999999999993,51523.0
15.25,1.5999999999999996,40366.0
15.25,1.5,32255.0
15.25,1.4000000000000004,24876.0
15.25,1.3000000000000007,19649.0
15.25,1.1999999999999993,16019.0
15.25,1.0999999999999996,12716.0
15.25,1.0,9875.0
15.25,0.9000000000000004,7382.0
15.25,0.8000000000000007,5369.0
15.25,0.6999999999999993,3595.0
15.25,0.5999999999999996,2208.0
15.25,0.5,792.0
15.25,0.40000000000000036,-496.0
15.25,0.3000000000000007,-1481.0
15.25,0.1999999999999993,-2311.0
15.25,0.09999999999999964,-2790.0
15.3,0.0,-3514.0
15.3,-0.09999999999999964,-3820.0
